Stroke,12v,24v,Sensor,Force,Type,URL,Name,Image,Price
1_2_3_4_5_6_8_10_12,12v,24v,,26,Rod,bullet-series-23-cal,Bullet Series 23 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-linear-actuator-23cal_1_-min_800x_e53b131d-8a2e-4650-8219-b447c8a78ec2_300x300.jpg?v=1645128068,190.00

1_2_3_4_5_6_7_8,12v,24v,,20,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,190.00
1_2_3_4_5_6_7_8,12v,24v,,110,Rod,bullet-series-mini-actuators,Bullet Series Mini Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-bullet-series-mini-linear-actuator-min_800x_31ef02e2-977f-4449-8c42-161b40474911_300x300.jpg?v=1645128246,190.00

3_6_9_12_15_18_24_28_30,12v,,,200,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99
3_6_9_12_15_18_24_28_30,12v,,,400,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99
3_6_9_12_15_18_24_28_30,12v,,,1000,Rod,heavy-duty,Heavy Duty Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-rod-linear-actuator_2_-min_800x_79b22587-fef8-4c11-9db0-d50ca09ed7a7_300x300.jpg?v=1645125928,169.99

3_6_9_12_15_18_24_30_32_34_36,12v,,,100,Rod,deluxe-rod-actuator,Deluxe Rod Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_d32a6b94-784d-49b6-a1f4-bfa7b529c333_300x300.jpg?v=1645127535,178.99

5_10_20_30_40_50_60,12v,,,200,Rod,heavy-duty-linear-actuator-ip66,Heavy Duty Rod Actuators - IP66 Rated,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-deluxe-rod-linear-actuator_1_-min_800x_ab549565-d319-4961-94ad-439f76566e8a_300x300.jpg?v=1645125850,295.98

10_15_20_25_30_35,12v,24v,,2200,Rod,industrial-heavy-duty-linear-actuators,Industrial Heavy Duty Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-industrial-heavy-duty-linear-actuator_1_-min_1_800x_e905f09f-362a-4aae-af51-11a071ffa8b9_300x300.jpg?v=1645125886,630.00

10_20_30_40_50_60,,24v,,200,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,269.98
10_20_30_40_50_60,,24v,,400,Track,heavy-duty-track-actuator,Heavy Duty Track Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-heavy-duty-track-actuator_1_-min_800x_070f5610-365d-4d4f-8851-e4136d4959c7_300x300.jpg?v=1645125975,269.98

5_10_15_20_25,12v,,,35,Track,mini-track-actuator,Mini Track Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/firgelli-automations-mini-track-actuator_1_-min_800x_2456bcb5-b536-42c6-8210-c5d748235a8a_300x300.jpg?v=1645127898,140.99

1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30_31_32_33_34_35_36_37_38_39,12v,24v,,180,Column,electric-column-lift,Column Lift Actuator,//cdn.shopify.com/s/files/1/0615/2193/products/columnlift_300x300.jpg?v=1674677574,350.00
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30_31_32_33_34_35_36_37_38_39,12v,24v,,80,Column,electric-column-lift,Column Lift Actuator,//cdn.shopify.com/s/files/1/0615/2193/products/columnlift_300x300.jpg?v=1674677574,350.00

1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,35,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,195.84
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,150,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,195.84
1_2_3_4_5_6_7_8_9_10_11_12_13_14_17_18_19_20_23_24_27_28_29_30,12v,,,200,Rod,adjustable-stroke-linear-actuators,Adjustable Stroke Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Adjustablelimitswitchactuator4_1366x_6ad2228d-f90b-482d-8638-6f32a2086557_300x300.jpg?v=1645125144,195.84

5_10_15_20_25_30_35_40_45_50,12v,,Pot,,Rod,potentiometer,Linear Potentiometer Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/Linear-potentiometer-min_1_-min_300x300.jpg?v=1627063612,99.00

1_2_3_4,12v,,Hall,4.5,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,183.99
1_2_3_4,12v,,Hall,11,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,183.99
1_2_3_4,12v,,Hall,22,Rod,micro-actuators,Micro Pen Actuator with Feedback,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_300x300.jpg?v=1674673967,183.99

1_2_3_4_5_6,12v,,,4.4,Rod,f12-micro-linear-actuators,F12 Micro Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/F12MICROLINEARACTUATOR2_300x300.png?v=1657214665,100.99

1_2_3_4,12v,,,4.5,Rod,micro-actuators-12v,Micro Pen Actuators 12v,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_b4c6eaf4-7c05-4264-8843-b997ea2a90f4_300x300.jpg?v=1674675243,183.99
1_2_3_4,12v,,,22,Rod,micro-actuators-12v,Micro Pen Actuators 12v,//cdn.shopify.com/s/files/1/0615/2193/products/micropenactuatorwithshadow_b4c6eaf4-7c05-4264-8843-b997ea2a90f4_300x300.jpg?v=1674675243,183.99

1_2_3_4_5_6_7_8,12v,,,11,Rod,silent-micro-linear-actuator,Silent Micro Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/silentactuator_300x300.png?v=1674610179,100.99

6_9_12_18_24_28,12v,,,22,Rod,bullet-series-35-cal-linear-actuators,Bullet Series 35 Cal. Linear Actuators,//cdn.shopify.com/s/files/1/0615/2193/products/bullet35actuator_300x300.jpg?v=1657928987,232.00
